"VisitNo","QAQC","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData","SiteComments","newStation","newLocation"
8121,"true","Mudsucker","DMC;SH","Decker Island","08/02/2023","DECK-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",84,21.8,6.46,263,7.1,7.3,0.17,0.39,6.5," 1=absent",2," Inside",NA," false"," breach","DECK-CH-INT","Decker Island"
8123,"true","Mudsucker","DMC;SH","Decker Island","08/02/2023","DECK-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",98,21.6,6.36,242,7.1,6.9,0.2,0.41,6.8," 1=absent",2," Inside",NA," false"," interior","DECK-CH-INT","Decker Island"
7915,"true","SeaArk","GU;SH;GN","Decker Island","04/11/2023","DECK-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," "," 2=ebb",76,15.3,8.57,169,7,11.1,0.13,0.43,11.3," 1=absent",2," Inside",NA," false"," ","DECK-CH-INT","Decker Island"
8386,"true","Mudsucker","AC;ED;DH;AM","Decker Island","11/21/2023","DECK-TP","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",90,14.1,10.08,400,7.8,5.7,0.15,0.36,5.8," 1=absent",2," Inside",NA," false"," ","DECK-TP","Decker Island"
9062,"true","Mudsucker","DMC;SH;AM","Decker Island","10/19/2023","DECK-CH-INT","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",100,16.9,5.34,206,7,5.4,0.07,0.29,11," 1=absent",1," Inside",NA," false"," ","DECK-CH-INT","Decker Island"
8525,"true","SeaArk","DMC;DH;GN","Decker Island","11/08/2023","DECK-CH-INT","1=0-33% clouds","0=Calm; glassy"," N"," 2=ebb",NA,15.8,9.99,193,7.7,5,0.15,0.32,5.7," 1=absent",2," Inside",NA," false"," no secchi because giant log flowed down and disrupted sediment.","DECK-CH-INT","Decker Island"
9066,"true","Mudsucker","DMC;SH;AM","Decker Island","10/19/2023","DECK-TP","1=0-33% clouds","0=Calm; glassy"," N"," 2=ebb",NA,16.9,5.15,202,6.8,5.4,0.15,0.31,11.8," 1=absent",1," Inside",NA," false"," ","DECK-TP","Decker Island"
7983,"true","Mudsucker","CB;AC;ED;AM","Decker Island","05/10/2023","DECK-TP","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 1=high slack",71,14.6,9.51,124,7.6,7.7,0.09,0.38,6.7," 1=absent",2," Inside",NA," false"," ","DECK-TP","Decker Island"
7825,"true","SeaArk","GU;SH;GN","Decker Island","04/11/2023","DECK-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",78,14.4,8.86,169,7.1,7.9,0.11,0.39,10.5," 1=absent",2," Inside",NA," false"," boogie board used for all 3 nets. 3/10 neuston tows mostly underwater","DECK-CH-INT","Decker Island"
7914,"true","SeaArk","GU;SH;GN","Decker Island","04/11/2023","DECK-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," "," 2=ebb",86,14.9,8.66,169,7.1,9.6,0.13,0.45,11.2," 1=absent",2," Inside",NA," false"," 2/10 nt were submerged","DECK-CH-INT","Decker Island"
8524,"true","SeaArk","DMC;DH;GN","Decker Island","11/08/2023","DECK-TP","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," N"," 4=flood",NA,15.7,10.3,192,7.9,4.3,0.19,0.38,5.6," 1=absent",2," Inside",NA," false"," secchi hit bottom at 120cm","DECK-TP","Decker Island"
8526,"true","SeaArk","DMC;DH;GN","Decker Island","11/08/2023","DECK-CH-INT","1=0-33% clouds","0=Calm; glassy"," N"," 2=ebb",97,15.4,9.21,191,7.3,7.3,0.16,0.37,6.1," 1=absent",2," Inside",NA," false"," ","DECK-CH-INT","Decker Island"
7916,"true","SeaArk","GU;SH;GN","Decker Island","04/11/2023","DECK-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," "," 2=ebb",67,15.7,8.37,170,6.9,13.9,0.14,0.44,11.5," 1=absent",2," Inside",NA," false"," zoop and nt not complete due to time and tide being too low. zoop hitting bottom","DECK-CH-INT","Decker Island"
8204,"true","Mudsucker","AC;DMC;ED;GU;DH","Flyway Farms","08/16/2023","FLYW-CH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",59,25.4,4.05,205,7.1,11.1,0.36,0.5,14.1," 1=absent",1," Inside",NA," false"," ","FLYW-CH-N","Yolo Flyway Farms"
7606,"true","Kayak","DMC;GU","Flyway Farms","04/19/2023","FLYW-CH-N","1=0-33% clouds","0=Calm; glassy"," W"," 2=ebb",NA,14.7,8.28,664,7.8,8.9,0.43,2.01,17.5," 1=absent",2," Inside",NA," false"," GPS #5; accuracy 2m; guest is Anthony L.","FLYW-CH-N","Yolo Flyway Farms"
7964,"true","Mudsucker","AC;ED;AM;SS","Flyway Farms","04/26/2023","FLYW-CH-N","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",29,21.7,7.52,733,7.9,7.4,0.41,1.49,17.8," 1=absent",1," Inside",NA," false"," depth from handheld","FLYW-CH-N","Yolo Flyway Farms"
7881,"true","Mudsucker","BA;AC;DC;ED;AE","Flyway Farms","04/27/2023","FLYW-CH-N","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",46,23.7,7.19,764,9.4,8.5,0.25,1.43,16.2," 1=absent",2," Inside",NA," false"," ","FLYW-CH-N","Yolo Flyway Farms"
8081,"true","Mudsucker","DMC;ED;GU;AM","Flyway Farms","05/25/2023","FLYW-CH-W","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 1=high slack",31,21.4,6,560,7.8,18.7,0.26,0.86,18.1," 1=absent",2," Inside",NA," false"," ","FLYW-CH-W","Yolo Flyway Farms"
9052,"true","Mudsucker","DMC;GU;SH","Flyway Farms","08/01/2023","FLYW-CH-W","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",76,21.9,6.5,187,7.3,8.5,0.19,0.7,11.7," 1=absent",2," Inside",NA," false"," ","FLYW-CH-W","Yolo Flyway Farms"
9051,"true","Mudsucker","DMC;GU;SH","Flyway Farms","08/01/2023","FLYW-CH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",59,22.7,6.11,184,7.5,10.5,0.2,0.48,10.1," 1=absent",2," Inside",NA," false"," sampled in terminous","FLYW-CH-N","Yolo Flyway Farms"
7406,"true","Mudsucker","DMC;ED;AM;GP","Flyway Farms","03/17/2023","FLYW-UNK","1=0-33% clouds","0=Calm; glassy"," N"," 2=ebb",16,12.5,9.03,156,7.4,71.8,0.58,1.06,12.1," 1=absent",1," Inside",NA," false"," ","FLYW-UNK","Yolo Flyway Farms"
7607,"true","Kayak","DMC;GU","Flyway Farms","04/19/2023","FLYW-CH-W","1=0-33% clouds","0=Calm; glassy"," W"," 2=ebb",NA,16.3,8.95,677,7.9,7.7,0.23,1.14,17.8," 1=absent",2," Inside",NA," false"," GPS#5; accuracy 2m; guest is Anthony L","FLYW-CH-W","Yolo Flyway Farms"
8603,"true","Mudsucker","CB;DMC;GU;DH","Flyway Farms","11/06/2023","FLYW-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 4=flood",NA,16.6,9.14,187,8.1,3.2,0.09,0.3,7.5," 1=absent",2," Inside",NA," false"," guest: Elijah Portugal. secchi hit bottom","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
8203,"true","Mudsucker","AC;DMC;ED;GU;DH","Flyway Farms","08/16/2023","FLYW-CH-W","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",73,25.4,6.61,179,7.5,6,0.37,0.41,11.8," 1=absent",1," Inside",NA," false"," ","FLYW-CH-W","Yolo Flyway Farms"
7879,"true","Mudsucker","BA;AC;DC;ED;AE","Flyway Farms","04/27/2023","FLYW-CH-W","1=0-33% clouds","0=Calm; glassy"," NW"," 1=high slack",53,21.9,6.79,761,9.4,11.2,0.31,1.82,16.4," 1=absent",2," Inside",NA," false"," ","FLYW-CH-W","Yolo Flyway Farms"
8202,"true","Mudsucker","AC;DMC;ED;GU;DH","Flyway Farms","08/16/2023","FLYW-CH-ENTRANCE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",105,25.5,6.72,176,7.6,5.3,0.34,0.36,11.4," 1=absent",1," Inside",NA," false"," guest: Leigh Sanders","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
8604,"true","Mudsucker","CB;DMC;GU;DH","Flyway Farms","11/06/2023","FLYW-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," S"," 2=ebb",NA,16.9,9.5,187,8.2,2.7,0.07,0.37,7.5," 1=absent",2," Inside",NA," false"," guest: EP. secchi hit bottom","FLYW-CH-N","Yolo Flyway Farms"
8045,"true","Mudsucker","AC;DC;ED;GU","Flyway Farms","04/27/2023","FLYW-CH-ENTRANCE","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",64,23,8.11,759,8.6,7.5,0.25,1.78,1703," 1=absent",2," Inside",NA," true"," Guests: Brian Armstrong and Anthony Elias-Linarez. PH sensor acting up this whole day. FDOM wrong","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
7965,"true","Mudsucker","AC;ED;AM;SS","Flyway Farms","04/26/2023","FLYW-CH-N","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",70,21.3,7.2,756,7.8,7.5,0.45,1.73,19.2," 1=absent",1," Inside",NA," false"," ","FLYW-CH-N","Yolo Flyway Farms"
7366,"true","Mudsucker","AC;ED;GU;AM;GP","Flyway Farms","03/08/2023","FLYW-CH-N","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",17,10.4,10.05,769,7.9,29.8,0.88,2.18,20," 1=absent",1," Inside",NA," false"," LS= Leigh Sanders (guest)","FLYW-CH-N","Yolo Flyway Farms"
8082,"true","Mudsucker","DMC;ED;GU;AM","Flyway Farms","05/25/2023","FLYW-CH-ENTRANCE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",32,21.4,5.91,568,7.7,18.8,0.26,0.9,18.6," 1=absent",2," Inside",NA," false"," ","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
8602,"true","Mudsucker","CB;DMC;GU;DH","Flyway Farms","11/06/2023","FLYW-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 4=flood",120,16.8,9.92,193,8.1,3.2,0.13,0.4,7.8," 1=absent",2," Inside",NA," false"," guest: EP","FLYW-CH-N","Yolo Flyway Farms"
8605,"true","Mudsucker","CB;DMC;GU;DH","Flyway Farms","11/06/2023","FLYW-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," S"," 2=ebb",151,16.8,8.97,184,8,3.1,0.1,0.33,7.4," 1=absent",2," Inside",NA," false"," guest EP","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
8331,"true","Mudsucker","DMC;SH","Flyway Farms","10/17/2023","FLYW-CH-N","1=0-33% clouds",""," NW"," 2=ebb",60,18.2,5.82,260,7.3,10.9,0.16,0.51,11.3," ",1," Inside",NA," false"," ","FLYW-CH-N","Yolo Flyway Farms"
7886,"true","Mudsucker","BA;AC;DC;ED;AE","Flyway Farms","04/27/2023","FLYW-CH-ENTRANCE","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",39,23.2,7.73,760,8.9,10,0.21,1.68,16.1," 1=absent",2," Inside",NA," false"," ","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
7365,"true","Mudsucker","AC;ED;GU;AM;GP","Flyway Farms","03/08/2023","FLYW-CH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",20,9.5,9.43,764,7.8,13.1,0.66,1.36,21.5," 1=absent",1," Inside",NA," false"," LS=LEIGH SANDERS (GUEST)","FLYW-CH-N","Yolo Flyway Farms"
8601,"true","Mudsucker","CB;DMC;GU;DH","Flyway Farms","11/06/2023","FLYW-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 4=flood",82,17,10.2,199,8.1,4.3,0.12,0.37,8," 1=absent",2," Inside",NA," false"," water was disturbed by prop wash; guest EP","FLYW-UNK","Yolo Flyway Farms"
7623,"true","Kayak","DMC;GU","Flyway Farms","04/19/2023","FLYW-UNK","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",NA,17.9,9.49,680,7.8,8.7,0.24,1.23,17.3," 1=absent",2," Inside",NA," false"," GPS#5; accuracy 2m; guest is Anthony L","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
8475,"true","Chinook","DMC;ED;DD;GU;AM","Flyway Farms","12/20/2023","FLYW-CH-W","4=rain","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",67,10.8,7.7,635,7.6,7.7,0.23,0.79,22.5," 1=absent",2," Inside",NA," false"," guest leigh sanders took eDNA sample. pc µg/L: 0.20; chl µg/L: 3.27","FLYW-CH-W","Yolo Flyway Farms"
7287,"true","Mudsucker","ED;GU;GN;GP","Flyway Farms","01/25/2023","FLYW-CH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," N"," 2=ebb",9,9.3,6.2,281,7.3,107.9,1.11,0.85,16.7," 1=absent",1," Inside",NA," false"," LS LEIGH SANDERS (GUEST)","FLYW-CH-N","Yolo Flyway Farms"
7887,"true","Mudsucker","BA;AC;DC;ED;AE","Flyway Farms","04/27/2023","FLYW-CH-ENTRANCE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",41,22,6.24,764,9.1,11.7,0.28,1.84,16.5," 1=absent",2," Inside",NA," false"," ","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
8379,"true","Mudsucker","DMC;ED;DH;AM","Flyway Farms","11/20/2023","FLYW-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," N"," 2=ebb",NA,14,1.6,198,8,4.4,0.12,0.29,8.1," 1=absent",2," Inside",NA," false"," secchi hit veg line","FLYW-UNK","Yolo Flyway Farms"
8329,"true","Mudsucker","DMC;SH","Flyway Farms","10/17/2023","FLYW-CH-ENTRANCE","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",71,19.3,8.15,181,7.7,6.2,0.14,0.3,8.9," 1=absent",1," Inside",NA," false"," at breach","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
8474,"true","Chinook","DMC;ED;DD;GU;AM","Flyway Farms","12/20/2023","FLYW-CH-N","3=66-100% clouds","0=Calm; glassy"," NW"," 4=flood",64,10.8,7.81,627,7.6,7.6,0.21,0.73,22.1," 1=absent",2," Inside",NA," false"," guest: leigh sanders; took eDNA sample. pc µg/L: 0.19; chl µg/L: 3.09","FLYW-CH-N","Yolo Flyway Farms"
8380,"true","Mudsucker","DMC;ED;DH;AM","Flyway Farms","11/20/2023","FLYW-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",NA,13.9,10.19,196,7.9,3.9,0.13,0.36,8.1," 1=absent",2," Inside",NA," false"," ","FLYW-CH-N","Yolo Flyway Farms"
8606,"true","Mudsucker","CB;DMC;GU;DH","Flyway Farms","11/06/2023","FLYW-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," S"," 2=ebb",NA,16.9,9.08,186,8,3.1,0.11,0.4,7.5," 1=absent",2," Inside",NA," false"," secchi hit bottom; guest EP","FLYW-CH-N","Yolo Flyway Farms"
7624,"true","Kayak","DMC;GU","Flyway Farms","04/19/2023","FLYW-UNK","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",NA,18.1,4.24,616,7,52.4,0.32,1.37,20.9," 1=absent",2," Inside",NA," false"," guest is Anthony L; sampled in rivulet draining into channel","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
7883,"true","Mudsucker","BA;AC;DC;ED","Flyway Farms","04/27/2023","FLYW-CH-N","",""," "," ",60,21.4,6.98,763,9.1,8.8,0.27,1.63,17.6," ",2," Inside",NA," false"," ","FLYW-CH-N","Yolo Flyway Farms"
9089,"true","Mudsucker","DMC;GU;SH","Flyway Farms","08/01/2023","FLYW-CH-ENTRANCE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",57,22,6.34,177,7.4,8,0.14,0.43,10.5," 1=absent",2," Inside",NA," false"," sampled at breach","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
7286,"true","Mudsucker","ED;GU;GN;GP","Flyway Farms","01/25/2023","FLYW-CH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," N"," 2=ebb",9,9.3,6.02,279,7.2,97.6,1.04,0.83,17.4," 1=absent",1," Inside",NA," false"," LEIGH SANDERS IS GUEST","FLYW-CH-N","Yolo Flyway Farms"
8330,"true","Mudsucker","DMC;SH","Flyway Farms","10/17/2023","FLYW-CH-W","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",77,19.5,8.82,183,7.9,6.9,0.15,0.33,9," 1=absent",1," Inside",NA," false"," ","FLYW-CH-W","Yolo Flyway Farms"
8473,"true","Chinook","DMC;ED;DD;GU;AM","Flyway Farms","12/20/2023","FLYW-CH-ENTRANCE","4=rain","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",63,10.7,7.58,623,7.6,8.4,0.25,0.75,22," 1=absent",2," Inside",NA," false"," pc µg/L: 0.18; chl µg/L: 3.16","FLYW-CH-ENTRANCE","Yolo Flyway Farms"
7783,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","04/18/2023","GRIZ-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 3=low slack",9,13,10.17,254,7.8,145.2,0.56,0.97,5.6," 1=absent",2," Inside",NA," false"," Guest- Anthony Elias-Linarez","GRIZ-UNK","Grizzly Bay"
8003,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","05/16/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 4=flood",19,17.3,9.59,154,7.9,63.9,0.67,1.52,6.1," 1=absent",1," Inside",NA," false"," Guest - Anthony Elias-Linarez","GRIZ-UNK","Grizzly Bay"
8064,"true","Kvichak","AC;ED;SH;AM","Grizzly Bay","06/15/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," W"," 2=ebb",14,17.9,9,193,7.9,137.7,0.71,1.31,4.3," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7604,"true","SeaArk","DC;DMC","Grizzly Bay","04/10/2023","GRIZ-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",21,19.9,10.7,542,8.4,38.6,0.75,2.61,13.1," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m","GRIZ-UNK","Grizzly Bay"
7605,"true","SeaArk","DC;DMC","Grizzly Bay","04/10/2023","GRIZ-UNK","1=0-33% clouds","0=Calm; glassy"," SW"," 2=ebb",21,19.9,11.09,622,8.4,36.6,0.85,3.12,14.2," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m","GRIZ-UNK","Grizzly Bay"
8401,"true","Kvichak","AC;ED;DH;SH","Grizzly Bay","10/11/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 4=flood",39,17.5,8.72,10478,7.9,24.9,0.37,0.92,6.6," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7422,"true","Mudsucker","CB;ED;GN;GP","Grizzly Bay","03/20/2023","GRIZ-UNK","2=33-66% clouds","3= wind 8-12 mph; large wavelets"," W"," 4=flood",18,12.9,10.2,625,7.7,74.2,0.88,1.27,12.6," 1=absent",1," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
8002,"true","Mudsucker","MA;CB;AE;SH","Grizzly Bay","05/16/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 4=flood",20,17.2,9.45,148,7.8,67.4,0.62,1.17,6," 1=absent",1," Inside",NA," false"," Depth from handheld","GRIZ-UNK","Grizzly Bay"
7782,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","04/18/2023","GRIZ-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 2=ebb",12,13.2,10.11,314,7.8,128.5,0.61,1.18,5.6," 1=absent",2," Inside",NA," false"," Guest- Anthony Elias-Linarez","GRIZ-UNK","Grizzly Bay"
7421,"true","Mudsucker","CB;ED;GN;GP","Grizzly Bay","03/20/2023","GRIZ-UNK","2=33-66% clouds","3= wind 8-12 mph; large wavelets"," W"," 4=flood",12,13,10.13,625,7.8,113.8,0.95,1.25,9.1," 1=absent",1," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7863,"true","Mudsucker","AC;ED;AE;AM","Grizzly Bay","04/18/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," NW"," 2=ebb",12,14.8,10.16,311,7.9,124.6,0.54,1.3,5.5," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7862,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","04/18/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 2=ebb",15,14.7,10.13,315,7.9,114.4,0.51,1.3,5.7," 1=absent",2," Inside",NA," false"," 100% open water","GRIZ-UNK","Grizzly Bay"
8480,"true","Mudsucker","ED;DD;GU;AM","Grizzly Bay","12/22/2023","GRIZ-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",67,11.6,9.58,18390,7.8,8.5,0.27,1.22,9," 1=absent",2," Inside",NA," false"," FDOM: 8.978. Guest is Leigh Sanders","GRIZ-UNK","Grizzly Bay"
8403,"true","Kvichak","AC;ED;DH;SH","Grizzly Bay","10/11/2023","GRIZ-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," W"," 4=flood",19,17.7,8.87,12243,7.9,36.4,0.43,1.5,6.4," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7603,"true","SeaArk","DC;DMC","Grizzly Bay","04/10/2023","GRIZ-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",18,19.4,10.79,395,8.6,39.4,1.04,3.87,11.2," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m","GRIZ-UNK","Grizzly Bay"
8484,"true","Mudsucker","ED;DD;GU;AM","Grizzly Bay","12/22/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," S"," 2=ebb",70,11.8,9.53,18306,7.8,7.3,0.19,0.58,8.5," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7423,"true","Mudsucker","CB;ED;GN;GP","Grizzly Bay","03/20/2023","GRIZ-UNK","2=33-66% clouds","3= wind 8-12 mph; large wavelets"," W"," 4=flood",18,13,10.4,491,7.9,90.1,1.08,1.54,9.3," 1=absent",1," Inside",1," false"," NOT PAIRED. YSI TAKEN FROM BUCKET","GRIZ-UNK","Grizzly Bay"
8410,"true","Mudsucker","AC;ED;DH;SH","Grizzly Bay","11/27/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," NE"," 4=flood",62,11.8,9.17,17311,7.8,10.7,0.2,0.6,7.2," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7304,"true","Mudsucker","ED;SH;GP;KS","Grizzly Bay","01/26/2023","GRIZ-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 2=ebb",14,9,11.25,658,7.7,116.4,0.59,1,14.7," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
8077,"true","Kvichak","AC;ED;SH;AM","Grizzly Bay","06/15/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," W"," 2=ebb",14,17.9,9.07,169,7.9,152.9,0.78,1.18,3.7," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7861,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","04/18/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 2=ebb",14,14.5,10.15,347,7.9,101.4,0.48,1.29,6.4," 1=absent",2," Inside",NA," false"," Guest: Anthony Elias-Linarez.","GRIZ-UNK","Grizzly Bay"
7860,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","04/18/2023","GRIZ-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 2=ebb",15,14.3,10.12,344,7.9,102.7,0.49,1.63,6.4," 1=absent",2," Inside",NA," false"," Guest=Anthony Eias-Linarez. ","GRIZ-UNK","Grizzly Bay"
8402,"true","Kvichak","AC;ED;DH;SH","Grizzly Bay","10/11/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 4=flood",31,17.7,8.77,11066,7.9,17.3,0.26,0.53,6.6," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
8007,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","05/16/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 4=flood",18,17.9,9.62,207,7.9,38.5,0.53,1.26,7.3," 1=absent",1," Inside",NA," false"," Guest - Anthony Elias-Linarez","GRIZ-UNK","Grizzly Bay"
8411,"true","Mudsucker","AC;ED;DH;SH","Grizzly Bay","11/27/2023","GRIZ-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 4=flood",58,11.7,9.26,17300,7.8,10.6,0.17,0.42,7.2," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
8485,"true","Mudsucker","ED;DD;GU;AM","Grizzly Bay","12/22/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 2=ebb",71,11.7,9.56,18308,7.8,7.2,0.18,0.78,8.5," 1=absent",2," Inside",NA," false"," FDOM= 8.445","GRIZ-UNK","Grizzly Bay"
8412,"true","Mudsucker","AC;ED;DH;SH","Grizzly Bay","11/27/2023","GRIZ-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",75,9.8,10.03,16697,7.9,8.7,0.25,0.58,8.3," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7303,"true","Mudsucker","ED;SH;GP;KS","Grizzly Bay","01/26/2023","GRIZ-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 2=ebb",11,8.9,11.29,317,7.7,115.8,0.58,0.63,11.9," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay"
7344,"true","Mudsucker","AC;DMC;ED;GU;GN","Grizzly Bay","02/28/2023","GRIZ-UNK","4=rain","3= wind 8-12 mph; large wavelets"," SE"," 4=flood",10,8,11.36,3924,7.9,136.3,0.58,0.64,8.2," 1=absent",2," Inside",NA," false"," SECCHI UNRELIABLE DUE TO WAVES. Guest: Leigh Sanders","GRIZ-UNK","Grizzly Bay"
7781,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","04/18/2023","GRIZ-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 2=ebb",13,13.2,10.07,305,7.7,132,0.61,1.23,5.3," 1=absent",2," Inside",NA," false"," Guest- Anthony Elias-Linarez","GRIZ-UNK","Grizzly Bay"
