"","VisitNo","SampleID_key","SampleID_frp","StartTime","EndTime","Duration","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthMeters","NetMeterStart","NetMeterEnd","TowDirection","SeineCode","SeineDeploymentType","LengthOfTrawl","Width","PercentOpen","GearTypeAbbreviation","volume","Location","Visit.Date2","Comments"
"95",7960,13366,"LAMOPE01-LIBE-26APR2023","08:51","",NA,38.301366,NA,121.68179,NA,0.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",85.7504395849216,"Liberty Island",2023-04-26," gps 5; accuracy 3m. not paired. depth from handheld"
"96",8027,13430,"LAMOPE01-LOWE-26MAY2023","07:30","",NA,38.338056,NA,121.666676,NA,1.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.300077206198,"Lower Yolo Ranch",2023-05-26," gps 6 accuracy 3m. depth from handheld."
"97",8489,13989,"LAMOPE01-NURS-26DEC2023","09:02","",NA,38.181595,NA,121.91546,NA,1.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",168.922111459686,"Nurse-Denverton",2023-12-26," "
"98",8421,13901,"LAMOPE01-NURS-28NOV2023","09:30","",NA,38.180882,NA,121.921976,NA,2.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",257.551731085734,"Nurse-Denverton",2023-11-28," "
"99",8063,13465,"LAMOPE01-PEYT-03MAY2023","10:58","",NA,38.217251,NA,122.030953,NA,0.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",85.7504395849216,"Peytonia-Suisun",2023-05-03," depth from handheld. gps 5. accuracy 2m. not paired."
"100",7461,12481,"LAMOPE01-PEYT-04APR2023","11:15","",NA,38.210998,NA,122.035481,NA,3.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",309.454345624682,"Peytonia-Suisun",2023-04-04," gps 5; accuracy 2m. not paired. "
"101",7433,12453,"LAMOPE01-PEYT-16MAR2023","07:52","",NA,38.207697,NA,122.033163,NA,7.1,NA,NA," 3= unknown","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Peytonia-Suisun",2023-03-16," gps 5; accuracy 2m. not paired. tow direction: na perpendicular to flow. majority of veg in cod end dead tule. wing caught on patch of dead tule and caused deployment to go sideways"
"102",7265,12269,"LAMOPE01-PEYT-19JAN2023","07:35","",NA,38.226707,NA,122.034588,NA,1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",107.56568890144,"Peytonia-Suisun",2023-01-19," gps 5; accuracy 2m. not paired. sampled through tule. frp23-503 thrsti 36 0 whole etoh"
"103",8501,14001,"LAMOPE01-PEYT-29DEC2023","09:37","",NA,38.210639,NA,122.035291,NA,4.2,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Peytonia-Suisun",2023-12-29," code 2: depth"
"104",8433,13915,"LAMOPE01-STAI-06DEC2023","08:24","",NA,38.321848,NA,121.690286,NA,1.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.011143848666,"Stairsteps-Liberty Cut",2023-12-06," "
"105",7401,12421,"LAMOPE01-STAI-17MAR2023","09:25","",NA,38.317758,NA,121.667412,NA,7.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Stairsteps-Liberty Cut",2023-03-17," gps 5; accuracy 5m. not paired. very high flow. code 2: depth"
"106",8373,13814,"LAMOPE01-STAI-20NOV2023","09:07","",NA,38.307196,NA,121.667165,NA,7.6,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Stairsteps-Liberty Cut",2023-11-20," code 2: depth"
"107",8041,13441,"LAMOPE01-STAI-27APR2023","09:01","",NA,38.32204,NA,121.685086,NA,3.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Stairsteps-Liberty Cut",2023-04-27," gps 5; accuracy 3m. depth from handheld. code 2: depth"
"108",7292,12292,"LAMOPE01-TULE-26JAN2023","08:01","",NA,38.128945,NA,121.988682,NA,2,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",206.41862200576,"Tule Red",2023-01-26," not paired. gps 5; accuracy 2m. repaired a 4-5 inch section along float line that came disconnected"
"109",7341,12361,"LAMOPE01-TULE-28FEB2023","08:15","",NA,38.133988,NA,121.994968,NA,2.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",265.477555979498,"Tule Red",2023-02-28," gps 5; accuracy 2m. not paired."
"110",7250,12253,"LAMOPE01-WINT-12JAN2023","08:26","",NA,38.046178,NA,121.849661,NA,1.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Winter Island",2023-01-12," gps 5; accuracy 2m. not paired. net briefly caught on something but it came loose when it was being pulled in; no holes found"
"111",7369,12389,"LAMOPE01-WINT-15MAR2023","09:07","",NA,38.03177,NA,121.842671,NA,3.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",322.75016704264,"Winter Island",2023-03-15," gps 5; accuracy 2m. not paired. "
"112",7354,12374,"LAMOPE01-WTIB-02MAR2023","08:48","",NA,38.095843,NA,121.592125,NA,7.2,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Webb Tract Island and Berms",2023-03-02," code 2 - depth. gps 5; accuracy 2m. not paired"
"113",7696,12756,"LAMOPE01-WTIB-12APR2023","15:25","",NA,38.095075,NA,121.583455,NA,3.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Webb Tract Island and Berms",2023-04-12," gps 6; accuracy 3m. paired. code 2 - depth. gps calculated 2023 sample inventory 9/11/23 ed"
"114",7313,12313,"LAMOPE02-BROA-02FEB2023","08:50","",NA,38.044829,NA,121.846553,NA,2.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",280.81804009311,"Broad Slough",2023-02-02," not paired. gps 5; accuracy 2m. "
"115",7482,12522,"LAMOPE02-BROA-05APR2023","09:54","",NA,38.051843,NA,121.842599,NA,9.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-04-05," gps 5; accuracy 2m. not paired. using handheld depth finder. code 2: depth"
"116",8441,13926,"LAMOPE02-BROA-11DEC2023","08:03","",NA,38.060323,NA,121.847885,NA,4.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-12-11," code 2 = depth"
"117",8350,13790,"LAMOPE02-BROA-15NOV2023","09:15","",NA,38.047933,NA,121.847785,NA,3.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",309.454345624682,"Broad Slough",2023-11-15," "
"118",8012,13412,"LAMOPE02-BROA-18MAY2023","09:11","",NA,38.045395,NA,121.846622,NA,8,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-05-18," gps 6 accuracy 3m. code 2: depth. depth from handheld"
"119",7983,13383,"LAMOPE02-DECK-10MAY2023","08:33","",NA,38.08432,NA,121.723897,NA,1.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.300077206198,"Decker Island",2023-05-10," depth from handheld. gps 6 accuracy 3m. gps calculated in 2023 sample inventory - ed 9/11/2023"
"120",7366,12386,"LAMOPE02-FLYW-08MAR2023","11:16","",NA,38.362298,NA,121.642792,NA,1.2,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members and Boat",NA,NA,NA,"LAMOPE",128.699383986074,"Flyway Farms",2023-03-08," gps 5; accuracy 2m. not paired. "
"121",8003,13403,"LAMOPE02-GRIZ-16MAY2023","09:45","",NA,38.130617,NA,121.997562,NA,0.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",96.7432585221664,"Grizzly Bay",2023-05-16," depth from handheld. gps 6 accuracy 4m"
"122",7782,12842,"LAMOPE02-GRIZ-18APR2023","08:56","",NA,38.124512,NA,122.009959,NA,1.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Grizzly Bay",2023-04-18," paired y . gps calculated in 2023 sample inventory - ed 9/7/2023. trace amounts of vegetation in net"
"123",7422,12442,"LAMOPE02-GRIZ-20MAR2023","10:16","",NA,38.12365,NA,122.001351,NA,2.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",232.751925056618,"Grizzly Bay",2023-03-20," gps 5; accuracy 2;. not paired. ysi reading done in bucket due to waves"
"124",8411,13872,"LAMOPE02-GRIZ-27NOV2023","09:21","",NA,38.118756,NA,122.009661,NA,2.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",257.551731085734,"Grizzly Bay",2023-11-27," "
"125",7244,12244,"LAMOPE02-HORS-03JAN2023","10:59","",NA,38.084148,NA,121.720405,NA,1.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.300077206198,"Horseshoe Bend",2023-01-03," gps 6; accuracy 3m. not paired. dominant vegetation in net: egeden; hyacinth. gps calculated and corrected in 2023 sample inventory - ed 21jul2023"
"126",7319,12319,"LAMOPE02-HORS-08FEB2023","08:43","",NA,38.080553,NA,121.729004,NA,2.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",215.36677824735,"Horseshoe Bend",2023-02-08," not paired. gps 5; accuracy 2m. "
"127",8462,13962,"LAMOPE02-HORS-19DEC2023","09:31","",NA,38.083896,NA,121.722156,NA,1.2,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",128.699383986074,"Horseshoe Bend",2023-12-19," "
"128",8384,13844,"LAMOPE02-HORS-21NOV2023","11:14","",NA,38.083985,NA,121.719703,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Horseshoe Bend",2023-11-21," "
"129",8470,13970,"LAMOPE02-LIBE-20DEC2023","09:23","",NA,38.271501,NA,121.669147,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",118.217730722742,"Liberty Island",2023-12-20," the 2 larbas jumped out"
"130",7282,12282,"LAMOPE02-LIBE-25JAN2023","09:26","",NA,38.291193,NA,121.678204,NA,1.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.011143848666,"Liberty Island",2023-01-25," gps 5; accuracy 3m. "
"131",8080,13482,"LAMOPE02-LIBE-25MAY2023","08:39","",NA,38.265562,NA,121.681793,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Liberty Island",2023-05-25," depth from handheld. gps 6; accuracy 3m. not paired"
"132",7961,13367,"LAMOPE02-LOWE-26APR2023","09:57","",NA,38.339952,NA,121.661973,NA,1.3,NA,NA," 3= unknown","1. No twists; snags; or tears","Crew Members and Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Lower Yolo Ranch",2023-04-26," gps 5; accuracy 3m. not paired. frp23-012 = 2 fish in vial- identified as spltai - ma 9/14/2023"
"133",8028,13431,"LAMOPE02-LOWE-26MAY2023","08:16","",NA,38.349278,NA,121.679687,NA,0.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members and Boat",NA,NA,NA,"LAMOPE",96.7432585221664,"Lower Yolo Ranch",2023-05-26," gps6 accuracy 3m. code 2: narrow. depth from handheld."
"134",8490,13990,"LAMOPE02-NURS-26DEC2023","09:19","",NA,38.182183,NA,121.909109,NA,1.2,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",128.699383986074,"Nurse-Denverton",2023-12-26," "
"135",8422,13902,"LAMOPE02-NURS-28NOV2023","09:51","",NA,38.180405,NA,121.91834,NA,1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",107.56568890144,"Nurse-Denverton",2023-11-28,"  "
"136",8065,13466,"LAMOPE02-PEYT-03MAY2023","11:21","",NA,38.223489,NA,122.032807,NA,4.8,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Peytonia-Suisun",2023-05-03," gps 5; accuracy 2m. not paired. depth from handheld. code 2 - depth"
"137",7464,12484,"LAMOPE02-PEYT-04APR2023","12:59","",NA,38.226724,NA,122.040664,NA,3.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Peytonia-Suisun",2023-04-04," gps 5; accuracy 2m. not paired. code 2 due to depth. "
"138",7434,12454,"LAMOPE02-PEYT-16MAR2023","08:34","",NA,38.212277,NA,122.035648,NA,3.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Peytonia-Suisun",2023-03-16," gps 5; accuracy 2m. not paired. code 2 b/c of depth"
"139",7266,12270,"LAMOPE02-PEYT-19JAN2023","08:00","",NA,38.222181,NA,122.04348,NA,3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",288.23269931296,"Peytonia-Suisun",2023-01-19," "
"140",8502,14002,"LAMOPE02-PEYT-29DEC2023","09:55","",NA,38.217019,NA,122.03299,NA,1.2,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",128.699383986074,"Peytonia-Suisun",2023-12-29," "
"141",8434,13916,"LAMOPE02-STAI-06DEC2023","08:39","",NA,38.325224,NA,121.684328,NA,1.4,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Stairsteps-Liberty Cut",2023-12-06," code 2: distance to set out net was short; had to turn to let out all net; prop hit bottom; took longer to set out"
"142",7402,12422,"LAMOPE02-STAI-17MAR2023","09:46","",NA,38.329053,NA,121.679236,NA,7.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Stairsteps-Liberty Cut",2023-03-17," gps 5; accuracy 2m. not paired. very high flow. code 2: depth"
"143",8374,13815,"LAMOPE02-STAI-20NOV2023","09:25","",NA,38.326862,NA,121.667248,NA,6.3,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Stairsteps-Liberty Cut",2023-11-20," code 2: depth"
"144",8042,13442,"LAMOPE02-STAI-27APR2023","09:23","",NA,38.329154,NA,121.678457,NA,2.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",265.477555979498,"Stairsteps-Liberty Cut",2023-04-27," gps 5; accuracy 3m. depth from handheld"
"145",8481,13981,"LAMOPE02-TULE-22DEC2023","09:51","",NA,38.123868,NA,121.979747,NA,1.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",178.551821933162,"Tule Red",2023-12-22," "
"146",7293,12293,"LAMOPE02-TULE-26JAN2023","08:25","",NA,38.127657,NA,121.987201,NA,2,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",206.41862200576,"Tule Red",2023-01-26," not paired. gps 5; accuracy 2m "
"147",7342,12362,"LAMOPE02-TULE-28FEB2023","08:40","",NA,38.127465,NA,121.987033,NA,2.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",232.751925056618,"Tule Red",2023-02-28," gps 5; accuracy 2m. not paired."
"148",7251,12254,"LAMOPE02-WINT-12JAN2023","08:44","",NA,38.044494,NA,121.846909,NA,3.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Winter Island",2023-01-12," gps 5; accuracy 2m. not paired. seine code 2 due to depth; fixed hole on lead line (~4in) after sample"
"149",7370,12390,"LAMOPE02-WINT-15MAR2023","09:35","",NA,38.036755,NA,121.845504,NA,2.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",241.188915624294,"Winter Island",2023-03-15," gps 5. not paired. "
"150",7355,12375,"LAMOPE02-WTIB-02MAR2023","09:06","",NA,38.094484,NA,121.587976,NA,8.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Webb Tract Island and Berms",2023-03-02," gps 5; accuracy 2m. not paired. code 2 - depth"
"151",7697,12757,"LAMOPE02-WTIB-12APR2023","15:49","",NA,38.094666,NA,121.577413,NA,7.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Webb Tract Island and Berms",2023-04-12," gps 6; accuracy 3m. paired. gps calculated in 2023 sample inventory ed9/11/23"
"152",7314,12314,"LAMOPE03-BROA-02FEB2023","09:17","",NA,38.052573,NA,121.849001,NA,3.8,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-02-02," not paired. gps 5; accuracy 2m. code 2: depth"
"153",8442,13927,"LAMOPE03-BROA-11DEC2023","08:25","",NA,38.042538,NA,121.845554,NA,1.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",178.551821933162,"Broad Slough",2023-12-11," "
"154",8351,13791,"LAMOPE03-BROA-15NOV2023","09:32","",NA,38.059341,NA,121.849144,NA,7.4,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-11-15," code 2: depth"
"155",8013,13413,"LAMOPE03-BROA-18MAY2023","09:36","",NA,38.053578,NA,121.849656,NA,2.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",249.455517634,"Broad Slough",2023-05-18," gps 6 accuracy 3m. depth from handheld all day."
"156",7245,12245,"LAMOPE03-DECK-03JAN2023","11:20","",NA,38.084279,NA,121.724097,NA,1.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",168.922111459686,"Decker Island",2023-01-03," gps 6; accuracy 3m. not paired. dominant vegetation in net: hyacinth. gps manually corrected from geo-tagged photos from that day - ed 21jul2023"
"157",8081,13483,"LAMOPE03-FLYW-25MAY2023","09:31","",NA,38.360903,NA,121.645822,NA,1.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members and Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Flyway Farms",2023-05-25," gps 6 accuracy 3m. depth from handheld. crapp spp could be black crappie. a good number of splitt had died. no count for misshr written down"
"158",7783,12843,"LAMOPE03-GRIZ-18APR2023","09:25","",NA,38.13424,NA,122.001791,NA,1,NA,NA," 3= unknown","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",107.56568890144,"Grizzly Bay",2023-04-18," paired y . gps calculated in 2023 sample inventory - ed 9/7/2023"
"159",7423,12443,"LAMOPE03-GRIZ-20MAR2023","10:33","",NA,38.119398,NA,121.990999,NA,1.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.300077206198,"Grizzly Bay",2023-03-20," gps 5; accuracy 2m. "
"160",8412,13873,"LAMOPE03-GRIZ-27NOV2023","09:44","",NA,38.130337,NA,121.996999,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Grizzly Bay",2023-11-27," "
"161",7320,12320,"LAMOPE03-HORS-08FEB2023","09:05","",NA,38.082879,NA,121.730635,NA,4,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Horseshoe Bend",2023-02-08," not paired. gps 5; accuracy 7m. code 2 - depth"
"162",8463,13963,"LAMOPE03-HORS-19DEC2023","10:02","",NA,38.084136,NA,121.7187,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Horseshoe Bend",2023-12-19," "
"163",8385,13845,"LAMOPE03-HORS-21NOV2023","11:39","",NA,38.082882,NA,121.725291,NA,3.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",322.75016704264,"Horseshoe Bend",2023-11-21," "
"164",7368,12388,"LAMOPE03-LIBE-08MAR2023","13:51","",NA,38.287551,NA,121.691273,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",118.217730722742,"Liberty Island",2023-03-08," gps 5; accuracy 2m. not paired. clam unid pics - id sphaeriidae ; plikely musculium dd 2/02/2024"
"165",8471,13971,"LAMOPE03-LIBE-20DEC2023","09:53","",NA,38.285499,NA,121.667779,NA,1.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.011143848666,"Liberty Island",2023-12-20," "
"166",8375,13816,"LAMOPE03-LOWE-20NOV2023","10:16","",NA,38.356701,NA,121.659033,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Lower Yolo Ranch",2023-11-20," g30 (??) for redear was other (emma has a photo). operculum very damaged. lengths are off by 10mm for some. "
"167",7283,12283,"LAMOPE03-LOWE-25JAN2023","10:30","",NA,38.349324,NA,121.679599,NA,1.2,NA,NA," 1= with flow","2. Partial twist; snag; or tear","Crew Members and Boat",NA,NA,NA,"LAMOPE",128.699383986074,"Lower Yolo Ranch",2023-01-25," not paired. gps 5; accuracy 2m. physically cannot turn boat around to tow against (code 2). 57 prickly sculpin was very gravid. "
"168",7962,13368,"LAMOPE03-LOWE-26APR2023","10:36","",NA,38.352992,NA,121.656399,NA,1.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members and Boat",NA,NA,NA,"LAMOPE",178.551821933162,"Lower Yolo Ranch",2023-04-26," gps 5. accuracy 3m. not paired. 1 exopal in first tow; depth from handheld. first tow was in wrong direction; reset and started again against flow"
"169",8029,13433,"LAMOPE03-LOWE-26MAY2023","10:02","",NA,38.354164,NA,121.654948,NA,1.2,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",128.699383986074,"Lower Yolo Ranch",2023-05-26," gps 6 accuracy 3m. code 2: twist in one wing. depth from handheld."
"170",8491,13991,"LAMOPE03-NURS-26DEC2023","09:42","",NA,38.191616,NA,121.907075,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Nurse-Denverton",2023-12-26," "
"171",8423,13903,"LAMOPE03-NURS-28NOV2023","10:35","",NA,38.191506,NA,121.904264,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Nurse-Denverton",2023-11-28," "
"172",8066,13467,"LAMOPE03-PEYT-03MAY2023","11:34","",NA,38.226807,NA,122.035614,NA,2.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",241.188915624294,"Peytonia-Suisun",2023-05-03," gps 5; accuracy 3m. not paired. depth from handheld"
"173",8503,14003,"LAMOPE03-PEYT-29DEC2023","10:18","",NA,38.220525,NA,122.031851,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Peytonia-Suisun",2023-12-29," dead tule in net"
"174",8435,13917,"LAMOPE03-STAI-06DEC2023","09:16","",NA,38.316512,NA,121.667482,NA,3.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Stairsteps-Liberty Cut",2023-12-06," deploying at edge of shoal; depth is dropping (~3.3 to 5.5) = code 2"
"175",7403,12423,"LAMOPE03-STAI-17MAR2023","10:05","",NA,38.321763,NA,121.686929,NA,5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Stairsteps-Liberty Cut",2023-03-17," gps 5; accuracy 7m. not paired. very high flow; net was very narrowly opened. code 2: depth"
"176",8043,13445,"LAMOPE03-STAI-27APR2023","09:41","",NA,38.33593,NA,121.667991,NA,3.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Stairsteps-Liberty Cut",2023-04-27," gps 5; accuracy 3m. depth from handheld. code 2: depth"
"177",8004,13404,"LAMOPE03-TULE-16MAY2023","10:08","",NA,38.131352,NA,121.99099,NA,1.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",168.922111459686,"Tule Red",2023-05-16," depth from handheld. gps 6 accuracy 3m"
"178",8482,13982,"LAMOPE03-TULE-22DEC2023","10:38","",NA,38.123554,NA,121.984023,NA,2.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",249.455517634,"Tule Red",2023-12-22," "
"179",7294,12294,"LAMOPE03-TULE-26JAN2023","08:49","",NA,38.133493,NA,121.992418,NA,1.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.011143848666,"Tule Red",2023-01-26," not paired. gps 5. patched another section along float line prior to this sample. depth was shallow; probably 1.4-1.7 avg to 1.5"
"180",7343,12363,"LAMOPE03-TULE-28FEB2023","09:05","",NA,38.121734,NA,121.982853,NA,2.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",265.477555979498,"Tule Red",2023-02-28,"  not paired."
"181",7435,12455,"LAMOPE03-WING-16MAR2023","09:00","",NA,38.214311,NA,122.040556,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",118.217730722742,"Wings Landing",2023-03-16," gps 5. not paired. "
"182",7267,12271,"LAMOPE03-WING-19JAN2023","08:20","",NA,38.222538,NA,122.041185,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",118.217730722742,"Wings Landing",2023-01-19," gps 5; accuracy 2. not paired"
"183",7483,12523,"LAMOPE03-WINT-05APR2023","10:15","",NA,38.04245,NA,121.84617,NA,2.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",249.455517634,"Winter Island",2023-04-05," gps 5; accuracy 2m. not paired. rock with barnacles :)"
"184",7252,12255,"LAMOPE03-WINT-12JAN2023","09:09","",NA,38.031796,NA,121.842607,NA,3.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Winter Island",2023-01-12," gps 5; accuracy 2m. not paired. seine code 2 due to depth. repaired hole in net on cod end seam (~3in) after sample"
